                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0922,                 0.6738,                 1.0493,                0.87452,                 0.7623,                0.85125,                0.48297,                 1.5076,                0.86764,                 1.4045,               0.006733,               0.006733,               0.006733
                     68,                 1.0755,                0.66927,                 1.0453,                0.85336,                0.76562,                0.81516,                   0.48,                 1.4489,                0.92211,                 1.3831,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1192,                0.68288,                 1.0677,                0.84451,                 0.8125,                0.88516,                 0.5033,                 1.4931,                0.83594,                 1.3997,               0.006634,               0.006634,               0.006634
                     70,                 1.0628,                0.64492,                  1.046,                0.83801,                0.79688,                0.84863,                0.46457,                 1.6272,                0.82667,                  1.485,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0757,                0.63864,                 1.0631,                0.86602,                0.80802,                0.85153,                0.50327,                 1.4794,                0.76288,                 1.4076,               0.006535,               0.006535,               0.006535
                     72,                 1.0779,                0.66142,                 1.0447,                0.84778,                0.82812,                0.84494,                0.46513,                 1.6276,                0.86403,                 1.5306,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0937,                0.66716,                 1.0669,                0.88373,                0.83136,                0.84037,                0.45701,                 1.6067,                0.80801,                 1.5151,               0.006436,               0.006436,               0.006436
                     74,                 1.0422,                0.65945,                 1.0448,                0.85798,                0.84958,                0.86281,                0.47097,                 1.5541,                0.79782,                 1.4387,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0512,                 0.6453,                 1.0449,                0.84813,                0.87264,                0.87014,                0.49526,                 1.4929,                0.83967,                 1.3699,               0.006337,               0.006337,               0.006337
                     76,                 1.0465,                0.64698,                 1.0583,                0.89509,                0.82812,                0.87779,                0.48419,                 1.5719,                0.75188,                 1.4939,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0723,                0.65559,                 1.0444,                0.92916,                0.81982,                0.89923,                0.48887,                 1.5777,                0.76165,                 1.4724,               0.006238,               0.006238,               0.006238
                     78,                 1.0647,                0.64465,                 1.0471,                0.87329,                0.82812,                 0.8539,                0.47729,                 1.5447,                0.78427,                 1.4331,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0367,                0.62779,                 1.0331,                0.83384,                  0.875,                0.83585,                0.49224,                 1.4588,                0.77638,                 1.3858,               0.006139,               0.006139,               0.006139
                     80,                  1.035,                0.65254,                 1.0478,                0.86511,                0.82812,                0.84856,                 0.4675,                 1.5716,                0.76866,                  1.441,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0332,                0.62602,                 1.0275,                0.85628,                0.82812,                0.87389,                0.48203,                 1.5119,                0.79551,                 1.4547,                0.00604,                0.00604,                0.00604
                     82,                 1.0076,                0.61003,                 1.0189,                0.83447,                0.86651,                0.84464,                0.46837,                 1.5474,                0.80304,                 1.4762,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0505,                0.62501,                 1.0317,                0.86426,                0.82812,                0.86671,                0.49827,                 1.4879,                0.80475,                 1.3888,               0.005941,               0.005941,               0.005941
                     84,                  1.047,                0.62309,                 1.0271,                 0.8687,                0.76562,                  0.831,                0.46631,                 1.5949,                0.83411,                 1.4371,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0065,                0.59725,                 1.0199,                0.89514,                0.80036,                0.89311,                0.50043,                 1.4872,                0.74363,                 1.4335,               0.005842,               0.005842,               0.005842
                     86,                 1.0172,                 0.6115,                 1.0328,                 0.8598,                0.82812,                 0.8729,                0.49698,                 1.5303,                0.76952,                 1.4589,              0.0057925,              0.0057925,              0.0057925
                     87,                0.99764,                0.60441,                 1.0163,                0.87976,                0.84375,                 0.8962,                 0.4963,                  1.539,                0.83397,                 1.3715,               0.005743,               0.005743,               0.005743
                     88,                 1.0145,                0.61896,                 1.0058,                0.89306,                0.82812,                0.86262,                0.48651,                 1.5102,                0.78831,                 1.4005,              0.0056935,              0.0056935,              0.0056935
                     89,                0.96055,                0.59488,                 1.0043,                0.83311,                0.85801,                0.85595,                 0.4628,                 1.5884,                0.77741,                 1.4503,               0.005644,               0.005644,               0.005644
